Exercício: 2021
Escopo: Municípios do Estado - PR
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";16263854,91
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";752849,82
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";752849,82
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"02 - Judiciária";"siconfi-cor_TotalDespesas";100847,73
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"02.062 - Defesa do Interesse Público no Processo Judiciário";"siconfi-cor_TotalDespesas";100847,73
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";1891180,03
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"04.121 - Planejamento e Orçamento";"siconfi-cor_TotalDespesas";122611,68
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";1225596,94
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"04.123 - Administração Financeira";"siconfi-cor_TotalDespesas";368564,35
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"04.124 - Controle Interno";"siconfi-cor_TotalDespesas";61604,95
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"04.129 - Administração de Receitas";"siconfi-cor_TotalDespesas";92080,79
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"FU04 - Demais Subfunções";"siconfi-cor_TotalDespesas";20721,32
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";926091,4
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"08.242 - Assistência ao Portador de Deficiência";"siconfi-cor_TotalDespesas";100004,17
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";511042,57
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"08.122 - Administração Geral";"siconfi-cor_TotalDespesas";315044,66
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";5407378,51
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";1324592,42
Prefeitura Municipal de Jundiaí do Sul - PR;4112900;PR;3269;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";2856841,67
