Exercício: 2023
Escopo: Municípios do Estado - PR
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";30218815,6
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";906837,25
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";906837,25
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";3129285,75
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";3129285,75
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";1923519,74
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"08.243 - Assistência à Criança e ao Adolescente";"siconfi-cor_TotalDespesas";241376,8
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";1682142,94
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"09 - Previdência Social";"siconfi-cor_TotalDespesas";532252,31
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"09.271 - Previdência Básica";"siconfi-cor_TotalDespesas";532252,31
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";8390060,05
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";8250157,73
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";106288,93
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"10.305 - Vigilância Epidemiológica";"siconfi-cor_TotalDespesas";33613,39
Prefeitura Municipal de Porto Vitória - PR;4120309;PR;4057;"Despesas Empenhadas";"12 - Educação";"siconfi-cor_TotalDespesas";8558339,8
