Exercício: 2024
Escopo: Municípios do Estado - PR
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";92505001,07
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";2032630,86
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";2032630,86
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";8025558,78
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";6760785,65
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"04.123 - Administração Financeira";"siconfi-cor_TotalDespesas";1264773,13
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"06 - Segurança Pública";"siconfi-cor_TotalDespesas";452493,99
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"06.182 - Defesa Civil";"siconfi-cor_TotalDespesas";452493,99
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";2799179,4
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"08.241 - Assistência ao Idoso";"siconfi-cor_TotalDespesas";755,43
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"08.242 - Assistência à Pessoa com Deficiência";"siconfi-cor_TotalDespesas";6975,51
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"08.243 - Assistência à Criança e ao Adolescente";"siconfi-cor_TotalDespesas";683740,05
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";2107708,41
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";26125736,07
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";23635995,92
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";2418300,33
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"10.305 - Vigilância Epidemiológica";"siconfi-cor_TotalDespesas";71439,82
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"12 - Educação";"siconfi-cor_TotalDespesas";20685150,8
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"12.361 - Ensino Fundamental";"siconfi-cor_TotalDespesas";15714070,18
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"12.364 - Ensino Superior";"siconfi-cor_TotalDespesas";8612,12
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"12.365 - Educação Infantil";"siconfi-cor_TotalDespesas";3369112,36
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"12.367 - Educação Especial";"siconfi-cor_TotalDespesas";429572,25
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"FU12 - Demais Subfunções";"siconfi-cor_TotalDespesas";1163783,89
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"13 - Cultura";"siconfi-cor_TotalDespesas";379644,18
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"13.392 - Difusão Cultural";"siconfi-cor_TotalDespesas";379644,18
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"15 - Urbanismo";"siconfi-cor_TotalDespesas";12077568,24
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"15.451 - Infraestrutura Urbana";"siconfi-cor_TotalDespesas";5968098,02
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"15.452 - Serviços Urbanos";"siconfi-cor_TotalDespesas";6109470,22
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"18 - Gestão Ambiental";"siconfi-cor_TotalDespesas";5304,58
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"18.541 - Preservação e Conservação Ambiental";"siconfi-cor_TotalDespesas";5304,58
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"20 - Agricultura";"siconfi-cor_TotalDespesas";9227999,23
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"20.606 - Extensão Rural";"siconfi-cor_TotalDespesas";9227999,23
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"22 - Indústria";"siconfi-cor_TotalDespesas";66478,79
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"22.661 - Promoção Industrial";"siconfi-cor_TotalDespesas";66478,79
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"26 - Transporte";"siconfi-cor_TotalDespesas";7569073,86
Prefeitura Municipal de Salto do Lontra - PR;4123006;PR;14006;"Despesas Empenhadas";"26.782 - Transporte Rodoviário";"siconfi-cor_TotalDespesas";7569073,86
