Exercício: 2022
Escopo: Municípios do Estado - PR
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";76149647,18
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";1455494,72
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";1455494,72
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"02 - Judiciária";"siconfi-cor_TotalDespesas";875049,22
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"02.061 - Ação Judiciária";"siconfi-cor_TotalDespesas";875049,22
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";6458534,86
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"04.121 - Planejamento e Orçamento";"siconfi-cor_TotalDespesas";136198,68
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";3713976,25
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"04.123 - Administração Financeira";"siconfi-cor_TotalDespesas";1451624,11
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"04.124 - Controle Interno";"siconfi-cor_TotalDespesas";20334,09
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"04.131 - Comunicação Social";"siconfi-cor_TotalDespesas";302289,51
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"FU04 - Demais Subfunções";"siconfi-cor_TotalDespesas";834112,22
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";2111723,03
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"08.241 - Assistência ao Idoso";"siconfi-cor_TotalDespesas";1490,00
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"08.243 - Assistência à Criança e ao Adolescente";"siconfi-cor_TotalDespesas";444507,78
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";1665725,25
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"09 - Previdência Social";"siconfi-cor_TotalDespesas";10249942,05
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"09.272 - Previdência do Regime Estatutário";"siconfi-cor_TotalDespesas";10249942,05
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";17268038,07
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";15303985,55
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";1226915,03
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"10.303 - Suporte Profilático e Terapêutico";"siconfi-cor_TotalDespesas";60724,79
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"10.304 - Vigilância Sanitária";"siconfi-cor_TotalDespesas";324764,49
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"10.305 - Vigilância Epidemiológica";"siconfi-cor_TotalDespesas";351476,77
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"FU10 - Demais Subfunções";"siconfi-cor_TotalDespesas";171,44
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"12 - Educação";"siconfi-cor_TotalDespesas";16094561,78
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"12.361 - Ensino Fundamental";"siconfi-cor_TotalDespesas";10075304,06
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"12.364 - Ensino Superior";"siconfi-cor_TotalDespesas";196773,34
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"12.365 - Educação Infantil";"siconfi-cor_TotalDespesas";5347974,88
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"12.367 - Educação Especial";"siconfi-cor_TotalDespesas";65095,94
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"12.122 - Administração Geral";"siconfi-cor_TotalDespesas";356695,06
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"FU12 - Demais Subfunções";"siconfi-cor_TotalDespesas";52718,5
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"13 - Cultura";"siconfi-cor_TotalDespesas";697890,35
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"13.392 - Difusão Cultural";"siconfi-cor_TotalDespesas";697890,35
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"15 - Urbanismo";"siconfi-cor_TotalDespesas";6055220,55
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"15.451 - Infraestrutura Urbana";"siconfi-cor_TotalDespesas";4799943,19
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"15.452 - Serviços Urbanos";"siconfi-cor_TotalDespesas";1255277,36
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"17 - Saneamento";"siconfi-cor_TotalDespesas";873579,42
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"17.511 - Saneamento Básico Rural";"siconfi-cor_TotalDespesas";873579,42
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"18 - Gestão Ambiental";"siconfi-cor_TotalDespesas";1373374,28
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"18.541 - Preservação e Conservação Ambiental";"siconfi-cor_TotalDespesas";1373374,28
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"20 - Agricultura";"siconfi-cor_TotalDespesas";4769682,85
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"20.606 - Extensão Rural";"siconfi-cor_TotalDespesas";4769682,85
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"22 - Indústria";"siconfi-cor_TotalDespesas";161827,88
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"FU22 - Demais Subfunções";"siconfi-cor_TotalDespesas";161827,88
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"23 - Comércio e Serviços";"siconfi-cor_TotalDespesas";21535,58
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"23.695 - Turismo";"siconfi-cor_TotalDespesas";21535,58
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"26 - Transporte";"siconfi-cor_TotalDespesas";6698213,48
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"26.782 - Transporte Rodoviário";"siconfi-cor_TotalDespesas";6698213,48
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"27 - Desporto e Lazer";"siconfi-cor_TotalDespesas";984979,06
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"27.812 - Desporto Comunitário";"siconfi-cor_TotalDespesas";224047,69
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"27.122 - Administração Geral";"siconfi-cor_TotalDespesas";760931,37
Prefeitura Municipal de Guaraniaçu - PR;4109302;PR;11969;"Despesas Empenhadas";"Despesas Intraorçamentárias";"siconfi-cor_TotalDespesas";4905267,07
