Exercício: 2020
Escopo: Municípios do Estado - PR
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"Despesas Exceto Intraorçamentárias";"siconfi-cor_TotalDespesas";16476926,67
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"01 - Legislativa";"siconfi-cor_TotalDespesas";696802,22
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"01.031 - Ação Legislativa";"siconfi-cor_TotalDespesas";696802,22
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"04 - Administração";"siconfi-cor_TotalDespesas";1978225,47
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"04.121 - Planejamento e Orçamento";"siconfi-cor_TotalDespesas";481231,27
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"04.122 - Administração Geral";"siconfi-cor_TotalDespesas";1233588,91
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"04.128 - Formação de Recursos Humanos";"siconfi-cor_TotalDespesas";5784,92
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"04.129 - Administração de Receitas";"siconfi-cor_TotalDespesas";257620,37
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"08 - Assistência Social";"siconfi-cor_TotalDespesas";947860,48
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"08.243 - Assistência à Criança e ao Adolescente";"siconfi-cor_TotalDespesas";128486,26
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"08.244 - Assistência Comunitária";"siconfi-cor_TotalDespesas";819374,22
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"09 - Previdência Social";"siconfi-cor_TotalDespesas";255526,94
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"09.271 - Previdência Básica";"siconfi-cor_TotalDespesas";255526,94
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"10 - Saúde";"siconfi-cor_TotalDespesas";5325109,38
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"10.301 - Atenção Básica";"siconfi-cor_TotalDespesas";555696,33
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"10.302 - Assistência Hospitalar e Ambulatorial";"siconfi-cor_TotalDespesas";4749538,31
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"10.304 - Vigilância Sanitária";"siconfi-cor_TotalDespesas";9577,00
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"10.305 - Vigilância Epidemiológica";"siconfi-cor_TotalDespesas";10297,74
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"12 - Educação";"siconfi-cor_TotalDespesas";3537843,82
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"12.361 - Ensino Fundamental";"siconfi-cor_TotalDespesas";2354483,34
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"12.365 - Educação Infantil";"siconfi-cor_TotalDespesas";1056493,86
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"12.367 - Educação Especial";"siconfi-cor_TotalDespesas";68818,65
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"FU12 - Demais Subfunções";"siconfi-cor_TotalDespesas";58047,97
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"13 - Cultura";"siconfi-cor_TotalDespesas";264521,15
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"13.392 - Difusão Cultural";"siconfi-cor_TotalDespesas";264521,15
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"15 - Urbanismo";"siconfi-cor_TotalDespesas";1229193,66
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"15.452 - Serviços Urbanos";"siconfi-cor_TotalDespesas";854332,53
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"FU15 - Demais Subfunções";"siconfi-cor_TotalDespesas";374861,13
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"16 - Habitação";"siconfi-cor_TotalDespesas";51563,67
Prefeitura Municipal de Santo Antônio do Caiuá - PR;4124202;PR;2641;"Despesas Empenhadas";"16.482 - Habitação Urbana";"siconfi-cor_TotalDespesas";51563,67
