numprocesso;ano;modalidade;numcontrato;anocontrato;orgao
29;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9275;2024;ESPC - Escola Superior da Polícia Civil - SESP
29;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9496;2024;PMPR-DEP - Diretoria de Ensino e Pesquisa - APMG - SESP
29;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9552;2024;PMPR-DEP - Diretoria de Ensino e Pesquisa - APMG - SESP
29;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9553;2024;PMPR-DEP - Diretoria de Ensino e Pesquisa - APMG - SESP
29;2024;Pregão Eletrônico (Lei Federal 14.133/2021);483;2025;PMPR-DEP - Diretoria de Ensino e Pesquisa - APMG - SESP
29;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1498;2025;ESPC - Escola Superior da Polícia Civil - SESP
29;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1537;2025;PMPR-AJGERAL - Ajudância-Geral do Comando-Geral da PMPR - SESP
29;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5115;2025;PMPR-BPA - Batalhão da Polícia Ambiental - SESP
30;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5152;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
33;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6300;2024;AMEP - Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC)
34;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3749;2024;AGEPAR - Agência Reguladora de Serviços Públicos Delegados do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3127;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3136;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3137;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3138;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3139;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3140;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3142;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3144;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3145;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3146;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3147;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3149;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3150;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6239;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);8;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
35;2024;Pregão Eletrônico (Lei Federal 14.133/2021);10;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
37;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3507;2025;PGE - Procuradoria Geral do Estado
37;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3602;2025;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
37;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4056;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
37;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4848;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
37;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4900;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
37;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5326;2025;DETRAN - Departamento de Trânsito do Estado do Paraná
38;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2913;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
39;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2909;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
39;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5554;2025;IPARDES - Instituto Paranaense de Desenvolvimento Econômico e Social
40;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3838;2024;UNESPAR - Universidade Estadual do Paraná
40;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3839;2024;UNESPAR - Universidade Estadual do Paraná
41;2024;Pregão Eletrônico (Lei Federal 14.133/2021);588;2025;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
41;2024;Pregão Eletrônico (Lei Federal 14.133/2021);589;2025;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
41;2024;Pregão Eletrônico (Lei Federal 14.133/2021);590;2025;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
41;2024;Pregão Eletrônico (Lei Federal 14.133/2021);592;2025;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
41;2024;Pregão Eletrônico (Lei Federal 14.133/2021);593;2025;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
41;2024;Pregão Eletrônico (Lei Federal 14.133/2021);594;2025;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
41;2024;Pregão Eletrônico (Lei Federal 14.133/2021);595;2025;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
43;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3406;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
45;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9212;2024;ALEP - Assembleia Legislativa do Estado do Paraná
46;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5991;2024;SEED - Secretaria de Estado da Educação
47;2024;Pregão Eletrônico (Lei Federal 14.133/2021);7510;2024;PRPREV - Serviço Social Autônomo PARANAPREVIDENCIA
47;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4106;2025;ALEP - Assembleia Legislativa do Estado do Paraná
47;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4161;2025;ALEP - Assembleia Legislativa do Estado do Paraná
48;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5056;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
48;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5059;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
50;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2134;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
51;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1991;2024;UEPG-HURCG - Hospital Universitário Regional dos Campos Gerais
51;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1992;2024;UEPG-HURCG - Hospital Universitário Regional dos Campos Gerais
52;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4370;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
52;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1857;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
52;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2568;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
52;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4846;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
52;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5405;2025;UEM - Universidade Estadual de Maringá
54;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6533;2024;PMPR-CGPM - Comando Geral da Polícia Militar - SESP
54;2024;Pregão Eletrônico (Lei Federal 14.133/2021);8304;2024;PMPR-CGPM - Comando Geral da Polícia Militar - SESP
54;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1442;2025;PMPR-CGPM - Comando Geral da Polícia Militar - SESP
54;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4068;2025;PMPR-CGPM - Comando Geral da Polícia Militar - SESP
60;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2101;2025;UEPG-HURCG - Hospital Universitário Regional dos Campos Gerais
63;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6008;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
63;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6009;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
63;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6016;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
63;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5304;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
63;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5305;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
63;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5306;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
64;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9053;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
64;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9054;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
64;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9055;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
64;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9056;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
64;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9057;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
64;2024;Pregão Eletrônico (Lei Federal 14.133/2021);9058;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
65;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2646;2025;UEPG-HURCG - Hospital Universitário Regional dos Campos Gerais
66;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6337;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
66;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6339;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
66;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6341;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
66;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6342;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
66;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6344;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
66;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6345;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
68;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3253;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
70;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3654;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
70;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3998;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
74;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5752;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
75;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2156;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
75;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2161;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
75;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2162;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
75;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2163;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
75;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2164;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
75;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2165;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
79;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5919;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
79;2024;Pregão Eletrônico (Lei Federal 14.133/2021);846;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
80;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3478;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
80;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3480;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
80;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3482;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
80;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3483;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
80;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3484;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
88;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4509;2024;UNESPAR - Universidade Estadual do Paraná
91;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3487;2024;PRPREV - Serviço Social Autônomo PARANAPREVIDENCIA
94;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2873;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
94;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2874;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
94;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2875;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
94;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2876;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
96;2024;Pregão Eletrônico (Lei Federal 14.133/2021);8835;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
98;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4577;2024;SEAP - Secretaria de Estado da Administração e da Previdência
98;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4669;2024;SEAP - Secretaria de Estado da Administração e da Previdência
100;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6035;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
101;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6771;2024;CBMPR - Corpo de Bombeiros Militar do Paraná (Antigo PMPR-CCB)
101;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6772;2024;CBMPR - Corpo de Bombeiros Militar do Paraná (Antigo PMPR-CCB)
103;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2946;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
103;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2957;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
103;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2959;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
103;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2961;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
103;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2962;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
103;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2966;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
103;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2991;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
104;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3188;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
105;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2213;2024;UNIOESTE - Universidade Estadual do Oeste do Paraná
109;2024;Pregão Eletrônico (Lei Federal 14.133/2021);507;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
109;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1518;2025;UEM - Universidade Estadual de Maringá
109;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3447;2025;PMPR-HPM - Hospital da Polícia Militar - SESP
109;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5349;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
112;2024;Pregão Eletrônico (Lei Federal 14.133/2021);522;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
112;2024;Pregão Eletrônico (Lei Federal 14.133/2021);525;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
113;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1949;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
113;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2035;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
114;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4823;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
114;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4831;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
114;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4834;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
117;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6084;2024;UNESPAR - Universidade Estadual do Paraná
119;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1872;2025;UEPG-HURCG - Hospital Universitário Regional dos Campos Gerais
120;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3103;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
121;2024;Pregão Eletrônico (Lei Federal 14.133/2021);7759;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
121;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3958;2025;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
121;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4173;2025;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
122;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6747;2024;SEAP - Secretaria de Estado da Administração e da Previdência
123;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2945;2024;ADAPAR - Agência de Defesa Agropecuária do Paraná
125;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2375;2024;UNIOESTE MCROND - Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon
126;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2478;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
126;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2684;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
127;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3094;2024;UNIOESTE HUOP - Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná
128;2024;Pregão Eletrônico (Lei Federal 14.133/2021);876;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
128;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3217;2025;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
128;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3869;2025;UEM - Universidade Estadual de Maringá
128;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4081;2025;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
131;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2965;2024;TCEPR - Tribunal do Contas do Estado do Paraná
131;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2966;2024;TCEPR - Tribunal do Contas do Estado do Paraná
131;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2967;2024;TCEPR - Tribunal do Contas do Estado do Paraná
132;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5065;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
132;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5070;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
132;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5073;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
132;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5079;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
132;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5082;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
138;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6217;2024;UEPG-HURCG - Hospital Universitário Regional dos Campos Gerais
138;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6230;2024;UEPG-HURCG - Hospital Universitário Regional dos Campos Gerais
139;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2298;2025;SESP - Secretaria de Estado da Segurança Pública
139;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2514;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
139;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2569;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
139;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4527;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
143;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2293;2024;UNIOESTE REITOR - Universidade Estadual do Oeste do Paraná - Reitoria
145;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2858;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
145;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3256;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
147;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3920;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
151;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3050;2024;UNIOESTE HUOP - Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná
154;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5693;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
155;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2259;2024;UEL - Universidade Estadual de Londrina
158;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2318;2024;TCEPR - Tribunal do Contas do Estado do Paraná
159;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5928;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
164;2024;Pregão Eletrônico (Lei Federal 14.133/2021);7817;2024;UEL - Universidade Estadual de Londrina
166;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3700;2024;UEL - Universidade Estadual de Londrina
167;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5527;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
169;2024;Pregão Eletrônico (Lei Federal 14.133/2021);4257;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
170;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2379;2024;UEM - Universidade Estadual de Maringá
170;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2388;2024;UEM - Universidade Estadual de Maringá
172;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2186;2024;UEPG-HURCG - Hospital Universitário Regional dos Campos Gerais
172;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2187;2024;UEPG-HURCG - Hospital Universitário Regional dos Campos Gerais
175;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2776;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
175;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2780;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
175;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2784;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
175;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2785;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
175;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2793;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
175;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2799;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
175;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2808;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
175;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2819;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
176;2024;Pregão Eletrônico (Lei Federal 14.133/2021);2984;2024;FA - Fundação Araucária
177;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1705;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
178;2024;Pregão Eletrônico (Lei Federal 14.133/2021);263;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
178;2024;Pregão Eletrônico (Lei Federal 14.133/2021);264;2025;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
180;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5968;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
180;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5970;2024;SUBPR-4CRPM - 4° Comando Regional da Polícia Militar - SESP
182;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6172;2024;UNESPAR - Universidade Estadual do Paraná
182;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6181;2024;UNESPAR - Universidade Estadual do Paraná
182;2024;Pregão Eletrônico (Lei Federal 14.133/2021);6194;2024;UNESPAR - Universidade Estadual do Paraná
184;2024;Pregão Eletrônico (Lei Federal 14.133/2021);3962;2024;FUNDEPAR - Instituto Paranaense de Desenvolvimento Educacional
186;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5797;2024;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
186;2024;Pregão Eletrônico (Lei Federal 14.133/2021);5972;2024;UEPG-HURCG - Hospital Universitário Regional dos Campos Gerais
186;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1048;2025;SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE
186;2024;Pregão Eletrônico (Lei Federal 14.133/2021);1539;2025;UEM - Universidade Estadual de Maringá
