numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;proporcao_homologado_estimado;flag_sobrepreco;lead_time_dias;ano_abertura;volume_licitacoes_orgao_ano;orgao_norm;municipio_extraido;populacao;idhm;categoria_objeto;score_anomalia;score_if;score_lof;classificacao;flag_anomalia;porte_municipio;driver_principal;tipo_anomalia;z_score_driver
1588;2022;Pregão Eletrônico;Publicado;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE INSUMOS PARA LABORATÓRIO  - MATERIAL DESCARTÁVEL, A SABER - COLETOR DE URINA, ESCOVA PARA LIMPEZA DE CANULADOS, TUBO PARA COLETA DE SANGUE, PLACA DE PETRI, PIPETA GRADUADA, LAMÍNULAS, TUBO DE COLETA, MICROTUBO, ENTRE OUTROS, PELO PERÍODO DE 6 MESES, PODENDO SER PRORROGADO NA FORMA LEGAL;UEM-Universidade Estadual de Maringá;Menor Preço;13985901.0;;2099-09-29;;TB_LICITACOES-2022.csv;contratação de empresa especializada para fornecimento de insumos para laboratório - material descartável, a saber - coletor de urina, escova para limpeza de canulados, tubo para coleta de sangue, placa de petri, pipeta graduada, lamínulas, tubo de coleta, microtubo, entre outros, pelo período de 6 meses, podendo ser prorrogado na forma legal;;False;;2099;1;uem-universidade estadual de maringa;Maringá;429660.0;0.681;saude;0.7255037052242643;0.5425061753737738;1.0;Anomalia Crítica;True;Metrópole (>200k);ano_abertura;Padrão Temporal;25.33
2;2023;Licitação Presencial - Estatal;Homologado;"O objeto desta licitação é a cessão onerosa de área portuária não operacional de 250.000 metros quadrados, compostas pela área do PDZ vigente denominada ANOP01 com 154.412 metros quadrados e área marítima adicional para viabilização do empreendimento com 95.588 metros quadrados, para  destinação ao projeto de revitalização e implantação do Complexo Turístico Marina Antonina,
conforme projeto conceitual, justificativas, normas e demais especificações estabelecidas no EVTEA simplificado, neste Edital e anexos
";APPA-Administração dos Portos de Paranaguá e Antonina;Maior Lance;914942160.0;3515226100.0;2023-10-05;2023-12-05;TB_LICITACOES-2023.csv;o objeto desta licitação é a cessão onerosa de área portuária não operacional de 250.000 metros quadrados, compostas pela área do pdz vigente denominada anop01 com 154.412 metros quadrados e área marítima adicional para viabilização do empreendimento com 95.588 metros quadrados, para destinação ao projeto de revitalização e implantação do complexo turístico marina antonina, conforme projeto conceitual, justificativas, normas e demais especificações estabelecidas no evtea simplificado, neste edital e anexos;3.8420200245226432;True;61.0;2023;66;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.6377270422100391;0.9844842239943302;0.11759126953360227;Anomalia Crítica;True;Grande (50-200k);sobrepreco_pct;Sobrepreço;284.2
248;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada para execução da obra CONSTRUÇÃO DO CENTRO ESPECIALIZADO EM REABILITAÇÃO - CER - NÍVEL IV do Hospital Universitário Regional dos Campos Gerais, Wallace Thadeu de Mello e Silva, sito à R. Prof. Gabriel de Paula Machado, 601 - Uvaranas, Ponta Grossa - PR, CEP 84031-510, conforme projetos, planilha orçamentária e termo de referência constantes nos Anexos XIII, XIV e XVIII.;UEPG-Universidade Estadual de Ponta Grossa;Maior Desconto;1217184952.0;1758.0;2025-01-23;2025-03-27;TB_LICITACOES-2024.csv;contratação de empresa especializada para execução da obra construção do centro especializado em reabilitação - cer - nível iv do hospital universitário regional dos campos gerais, wallace thadeu de mello e silva, sito à r. prof. gabriel de paula machado, 601 - uvaranas, ponta grossa - pr, cep 84031-510, conforme projetos, planilha orçamentária e termo de referência constantes nos anexos xiii, xiv e xviii.;1.4443162455396507e-06;False;63.0;2025;14;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;obras;0.6078782964219257;1.0;0.019695741054814184;Anomalia Crítica;True;Metrópole (>200k);populacao_log1p;Porte Populacional Atípico;12.84
139;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação Integrada de empresa especializada em engenharia e/ou arquitetura, para elaboração de projetos básico - ND 350, legal e executivo ND400 de arquitetura, projetos complementares de engenharia, aprovação nos órgãos competentes, As Built - ND500, e execução da obra da Torre 2 do Hospital Universitário Regional dos Campos Gerais  Wallace Thadeu de Mello e Silva, sito à R. Prof. Gabriel de Paula Machado, 601 - Uvaranas, Ponta Grossa - PR,  CEP 84031-510. Os projetos deverão ser desenvolvidos em plataforma BIM -Building Information Modeling, conforme elementos técnicos instrutores e anexos ao edital.;UEPG-Universidade Estadual de Ponta Grossa;Técnica e Preço;10707328790.0;10706000000.0;2025-04-10;2025-05-27;TB_LICITACOES-2024.csv;contratação integrada de empresa especializada em engenharia e/ou arquitetura, para elaboração de projetos básico - nd 350, legal e executivo nd400 de arquitetura, projetos complementares de engenharia, aprovação nos órgãos competentes, as built - nd500, e execução da obra da torre 2 do hospital universitário regional dos campos gerais wallace thadeu de mello e silva, sito à r. prof. gabriel de paula machado, 601 - uvaranas, ponta grossa - pr, cep 84031-510. os projetos deverão ser desenvolvidos em plataforma bim -building information modeling, conforme elementos técnicos instrutores e anexos ao edital.;0.9998758990196284;False;47.0;2025;14;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;obras;0.6063354055425062;0.9849587598294012;0.03840037411216377;Anomalia Crítica;True;Metrópole (>200k);populacao_log1p;Porte Populacional Atípico;12.84
17;2023;Licitação Eletrônica - Estatal;Homologado;Contratação de empresa especializada para execução dos serviços de dragagem de manutenção, por um prazo de 2 anos, visando remover o assoreamento dos canais de acesso, bacias de evolução, berços públicos e o Fundeadouro 6 dos Portos de Paranaguá e Antonina, de forma a manter as dimensões e profundidades previstas, conforme escopo, especificação de serviços e demais condições presentes no Termo de Referência, Edital e demais documentos técnicos.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;28516784193.0;1.0;2024-03-20;2024-04-29;TB_LICITACOES-2023.csv;contratação de empresa especializada para execução dos serviços de dragagem de manutenção, por um prazo de 2 anos, visando remover o assoreamento dos canais de acesso, bacias de evolução, berços públicos e o fundeadouro 6 dos portos de paranaguá e antonina, de forma a manter as dimensões e profundidades previstas, conforme escopo, especificação de serviços e demais condições presentes no termo de referência, edital e demais documentos técnicos.;3.506706763399603e-11;False;40.0;2024;22;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.6038668100745596;0.989370236240813;0.02561167082517935;Anomalia Crítica;True;Grande (50-200k);gasto_per_capita_log1p;Gasto per Capita Atípico;12.15
134;2021;Concorrência Pública;Deserto;Refeição Para o Restaurante Universitário;UNIOESTE FBELT-Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão;Menor Preço;71517800.0;;2021-12-16;;TB_LICITACOES-2021.csv;refeição para o restaurante universitário;;False;;2021;2;unioeste fbelt-universidade estadual do oeste do parana - campus francisco beltrao;Francisco Beltrão;102312.0;0.751;educacao;0.592237215738585;0.9679552934352893;0.02866009919352862;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.54
6;2022;Licitação Presencial - Estatal;Homologado;Contratacao de empresa s de Engenharia para realizacao, na modalidade semi integrada, da elaboracao dos projetos executivos e implantacao do empreendimento denominado Cais Leste  Moegao, que visa a centralizacao da descarga ferroviaria em uma moega exclusiva, otimizando a capacidade de recepcao e distribuição de cargas no Porto de Paranagua, segundo justificativas e especificacoes presentes no Edital, Termo de Referencia, Projeto Basico e demais elementos anexados pelo setor requisitante. ;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;59334801967.0;10.0;2022-10-05;2022-12-20;TB_LICITACOES-2022.csv;contratacao de empresa s de engenharia para realizacao, na modalidade semi integrada, da elaboracao dos projetos executivos e implantacao do empreendimento denominado cais leste moegao, que visa a centralizacao da descarga ferroviaria em uma moega exclusiva, otimizando a capacidade de recepcao e distribuição de cargas no porto de paranagua, segundo justificativas e especificacoes presentes no edital, termo de referencia, projeto basico e demais elementos anexados pelo setor requisitante.;1.6853515421795222e-10;False;76.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.5919500996977414;0.9646709272711012;0.032868858337701826;Anomalia Crítica;True;Grande (50-200k);gasto_per_capita_log1p;Gasto per Capita Atípico;12.89
72;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Publicado;Sistema de Geração de Energia Solar Fotovoltaico, com potência mínima de 7,09 MWP, conectado à rede on grid e grid zero e sistema de carregadores de veículos elétricos elementos constantes da pasta técnica, no Campus da Universidade Estadual de Londrina UEL. ;UEL-Universidade Estadual de Londrina;Maior Desconto;3224425182.0;;2025-10-24;;TB_LICITACOES-2025.csv;sistema de geração de energia solar fotovoltaico, com potência mínima de 7,09 mwp, conectado à rede on grid e grid zero e sistema de carregadores de veículos elétricos elementos constantes da pasta técnica, no campus da universidade estadual de londrina uel.;;False;;2025;232;uel-universidade estadual de londrina;Londrina;581382.0;0.725;veiculos;0.5823634705756423;0.940766402059103;0.04475907335045142;Anomalia Crítica;True;Metrópole (>200k);populacao_log1p;Porte Populacional Atípico;13.27
6;2022;Licitação Eletrônica - Estatal;Homologado;O presente certame tem como objetivo a contratação semi integrada de empresa especializada para Elaboração dos Projetos Executivos e Execução das obras dos 6 seis novos trapiches nas comunidades de Amparo Eufrasina  Europinha Ilha do Teixeira  Piacaguera e Vila Maciel, situados na área de influência direta da dragagem de aprofundamento do Porto de Paranaguá PR, incluindo o fornecimento de todo o material, mão de obra, equipamentos e ferramentas necessárias à completa execução dos serviços, bem como a destinação final dos materiais residuais provenientes da obra, conforme escopo, especificação de serviços e demais condições presentes neste Termo de Referência e demais elementos anexados pelo setor requisitante.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;2275462161.0;1501.0;2022-09-27;2023-01-30;TB_LICITACOES-2022.csv;o presente certame tem como objetivo a contratação semi integrada de empresa especializada para elaboração dos projetos executivos e execução das obras dos 6 seis novos trapiches nas comunidades de amparo eufrasina europinha ilha do teixeira piacaguera e vila maciel, situados na área de influência direta da dragagem de aprofundamento do porto de paranaguá pr, incluindo o fornecimento de todo o material, mão de obra, equipamentos e ferramentas necessárias à completa execução dos serviços, bem como a destinação final dos materiais residuais provenientes da obra, conforme escopo, especificação de serviços e demais condições presentes neste termo de referência e demais elementos anexados pelo setor requisitante.;6.596462141740708e-07;False;125.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.5792838512185858;0.9589646806955997;0.009762607003065134;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
25;2023;Credenciamento;Homologado;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA IMPLANTAÇÃO, FORNECIMENTO E ADMINISTRAÇÃO DE AUXÍLIO ALIMENTAÇÃO PARA OS COLABORADORES DA FUNDAÇÃO ARAUCÁRIA;FA-Fundação Araucária;-;156600000.0;156600000.0;2023-10-27;2023-11-07;TB_LICITACOES-2023.csv;contratação de empresa especializada para implantação, fornecimento e administração de auxílio alimentação para os colaboradores da fundação araucária;1.0;False;11.0;2023;2;fa-fundacao araucaria;Araucária;162247.0;0.704;alimentacao;0.5763541803355713;0.9423371517217982;0.02737972325623101;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;12.0
1;2020;Concorrência Pública;Homologado;Contratação  de  empresa  especializada  em  Serviços  de Levantamentos  Hidrográficos  Multifeixe, categorias  A  e  B,  conforme  padrões  estabelecidos pela  NORMAM  25,  para  realização  de  serviços nos Canais de Acesso, Bacias de Evolução,Berços de Atracação, Áreas de Fundeio, Áreas de Estudo e  Área  de  Despejo  dos  Portos  do Paraná,  tal como  as especificações contidas neste Edita;APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;755449465.0;446561388.0;2020-04-08;2020-05-28;TB_LICITACOES-2020.csv;contratação de empresa especializada em serviços de levantamentos hidrográficos multifeixe, categorias a e b, conforme padrões estabelecidos pela normam 25, para realização de serviços nos canais de acesso, bacias de evolução,berços de atracação, áreas de fundeio, áreas de estudo e área de despejo dos portos do paraná, tal como as especificações contidas neste edita;0.5911201327013978;False;50.0;2020;89;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;veiculos;0.5760247830205382;0.9331019757799338;0.04040899388144471;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
1088;2021;Pregão Eletrônico;Homologado;Contratação  através  do  sistema  de  registro  de  preços  de empresa  especializada  no  fornecimento  de  materiais  mecânicos  e  elétricos  para  atendimento  às necessidades   de   manutenção   do Terminal   Público   de   Fertilizantes   (TEFER)   e   Silo   Público   da Administração  dos  Portos  de  Paranaguá  e  Antonina  por  um  período  de  12  (doze)  meses;APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;1325602619.0;346000000.0;2021-09-22;2021-11-18;TB_LICITACOES-2021.csv;contratação através do sistema de registro de preços de empresa especializada no fornecimento de materiais mecânicos e elétricos para atendimento às necessidades de manutenção do terminal público de fertilizantes (tefer) e silo público da administração dos portos de paranaguá e antonina por um período de 12 (doze) meses;0.2610133648204568;False;57.0;2021;73;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;agricultura;0.5754943223971407;0.9417505624193704;0.02610996236379622;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
35;2025;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;contratação de serviços de contínuos de AUXILIAR DE MONTAGEM, CENOTÉCNICO, COSTUREIRA DE ESPETÁCULO, TÉCNICO DE ILUMINAÇÃO e TÉCNICO DE SOM;CCTG-Centro Cultural Teatro Guaira;Menor Preço;231169284.0;189998688.0;2025-02-07;2025-03-18;TB_LICITACOES-2025.csv;contratação de serviços de contínuos de auxiliar de montagem, cenotécnico, costureira de espetáculo, técnico de iluminação e técnico de som;0.8219028268478783;False;39.0;2025;6;cctg-centro cultural teatro guaira;Guaíra;33058.0;0.641;servicos;0.5729247926154738;0.943105830755795;0.017653235404992064;Anomalia Crítica;True;Médio (10-50k);populacao_log1p;Porte Populacional Atípico;10.41
36;2023;Concorrência Pública;Homologado;Concessão de espaço público para Funcionamento do Restaurante Universitário do Campus de Marechal Cândido Rondon;UNIOESTE MCROND-Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon;Menor Preço;159706800.0;136263600.0;2023-07-27;2023-08-16;TB_LICITACOES-2023.csv;concessão de espaço público para funcionamento do restaurante universitário do campus de marechal cândido rondon;0.8532110091743119;False;20.0;2023;28;unioeste mcrond-universidade estadual do oeste do parana - campus marechal candido rondon;Marechal Cândido Rondon;58734.0;0.688;educacao;0.5713047033554562;0.9243946337489695;0.04166980776518655;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;10.98
2460;2022;Pregão Eletrônico;Homologado;Contratação de Seguro Compreensivo de Operador Portuário para garantia das Responsabilidade Civil e Bens Patrimoniais da APPA, conforme estabelecido no Processo SUSEP nº 15414.003688/2003-46 Anexo V e seus anexos para Administração dos Portos de Paranaguá e Antonina, conforme informações e especificações contidas no Termo de referência, anexos e demais elementos do Edital.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;447412882.0;6191.0;2022-12-22;2022-01-06;TB_LICITACOES-2022.csv;contratação de seguro compreensivo de operador portuário para garantia das responsabilidade civil e bens patrimoniais da appa, conforme estabelecido no processo susep nº 15414.003688/2003-46 anexo v e seus anexos para administração dos portos de paranaguá e antonina, conforme informações e especificações contidas no termo de referência, anexos e demais elementos do edital.;1.3837330682847885e-05;False;0.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.5709359142112818;0.9411575000949627;0.015603535385760335;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
1;2024;Licitação Presencial - Estatal;Homologado;Contratação de duas agências de propaganda, para a prestação de serviços de publicidade, para atender às demandas da Administração dos Portos de Paranaguá e Antonina - APPA.;APPA-Administração dos Portos de Paranaguá e Antonina;Técnica e Preço;750000000.0;750000000.0;2024-08-20;2025-02-10;TB_LICITACOES-2024.csv;contratação de duas agências de propaganda, para a prestação de serviços de publicidade, para atender às demandas da administração dos portos de paranaguá e antonina - appa.;1.0;False;174.0;2024;22;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;comunicacao;0.5664215986217747;0.9336389098773961;0.015595631738342657;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
10;2023;Licitação Eletrônica - Estatal;Homologado;contratação de empresa-s- de Engenharia na modalidade integrada para elaboração dos projetos básico executivo e realização das obras de recuperação estrutural de 80 metros do cais do Porto de Paranaguá entre os cabeços de amarração 32 e 35;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;1872633475.0;20.0;2023-10-11;2023-11-23;TB_LICITACOES-2023.csv;contratação de empresa-s- de engenharia na modalidade integrada para elaboração dos projetos básico executivo e realização das obras de recuperação estrutural de 80 metros do cais do porto de paranaguá entre os cabeços de amarração 32 e 35;1.0680146578069689e-08;False;43.0;2023;66;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.5642646036278651;0.9332016837153062;0.010858983496703507;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
176;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;A presente licitação tem por objeto a prestação de serviços continuados de operadora ou agência de viagens, para cotação, reserva e emissão de passagens aéreas e rodoviárias, nacionais e internacionais, por meio de atendimento remoto e de Posto de Atendimento instalado em Curitiba Pr ou Região Metropolitana.;FA-Fundação Araucária;Menor Preço;600002200.0;;2024-04-05;2024-05-06;TB_LICITACOES-2024.csv;a presente licitação tem por objeto a prestação de serviços continuados de operadora ou agência de viagens, para cotação, reserva e emissão de passagens aéreas e rodoviárias, nacionais e internacionais, por meio de atendimento remoto e de posto de atendimento instalado em curitiba pr ou região metropolitana.;;False;31.0;2024;1;fa-fundacao araucaria;Araucária;162247.0;0.704;veiculos;0.5569796484031576;0.9172967369731457;0.0165040155481754;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;12.0
4;2022;Licitação Eletrônica - Estatal;Homologado;Contratação de empresa de Tecnologia da Informação para fornecer, em modalidade de SaaS Software como Serviço, uma Solução Integrada de Gestão Empresarial, doravante denominada simplesmente como Solução, que contemple os requisitos funcionais, não funcionais e tecnológicos para a Gestão Integrada dos Processos de Negócios na Administração dos Portos de Paranaguá e Antonina, doravante denominada simplesmente como Portos do Paraná.;APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;7210728035.0;6860000000.0;2022-08-25;2023-01-16;TB_LICITACOES-2022.csv;contratação de empresa de tecnologia da informação para fornecer, em modalidade de saas software como serviço, uma solução integrada de gestão empresarial, doravante denominada simplesmente como solução, que contemple os requisitos funcionais, não funcionais e tecnológicos para a gestão integrada dos processos de negócios na administração dos portos de paranaguá e antonina, doravante denominada simplesmente como portos do paraná.;0.9513602463859948;False;144.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;veiculos;0.5541866027895588;0.9107557158185909;0.019332933246010695;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
6;2021;Licitação Presencial - Estatal;Homologado;O  presente  procedimento  licitatório  tem  por objeto a contratação  de  empresa especializada para  o  planejamento,  gerenciamento  e  execução  do  Programa  de Recuperação de Áreas de Preservação Permanentes (APPs) Degradadas para a Área de Proteção Ambiental (APA) Federal de Guaraqueçaba -PRAD. A  Contratada  será  responsável  pela  plena  execução  e  gerenciamento  do  PRAD, cumprindo todas as etapas estabelecidas no presente Termo de Referência, no prazo de 3 (três)anos.O  contrato  deverá  ser  executado de  acordocom  as  normas  vigentes  e  demais condições presentes noEdital, Termode Referência e demais elementos anexados pelo setor requisitante.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;664302110.0;2205.0;2021-05-05;2021-06-07;TB_LICITACOES-2021.csv;o presente procedimento licitatório tem por objeto a contratação de empresa especializada para o planejamento, gerenciamento e execução do programa de recuperação de áreas de preservação permanentes (apps) degradadas para a área de proteção ambiental (apa) federal de guaraqueçaba -prad. a contratada será responsável pela plena execução e gerenciamento do prad, cumprindo todas as etapas estabelecidas no presente termo de referência, no prazo de 3 (três)anos.o contrato deverá ser executado de acordocom as normas vigentes e demais condições presentes noedital, termode referência e demais elementos anexados pelo setor requisitante.;3.319272913343599e-06;False;33.0;2021;73;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.5541648250820511;0.9170055843217544;0.009903686222496185;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
8;2022;Licitação Eletrônica - Estatal;Homologado;Contratação de empresa s de Engenharia e/ou Arquitetura para construção, na modalidade empreitada por preço global, do Edifício denominado Novo Almoxarifado da APPA, segundo justificativa e especificações presentes no Edital, Termo de Referência, projetos executivos e demais elementos anexados pelo setor requisitante.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;1022452973.0;220.0;2022-11-01;2022-12-22;TB_LICITACOES-2022.csv;contratação de empresa s de engenharia e/ou arquitetura para construção, na modalidade empreitada por preço global, do edifício denominado novo almoxarifado da appa, segundo justificativa e especificações presentes no edital, termo de referência, projetos executivos e demais elementos anexados pelo setor requisitante.;2.1516882028763978e-07;False;51.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.5541441354387066;0.9151642495603025;0.012613964256312876;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
122;2022;Pregão Eletrônico;Homologado;Contratação de empresa especializada para prestação de serviços sob demanda de infraestrutura de cabeamento de rede lógica cabeamento de rede telefônica câmeras de circuito interno de televisão CFTV equipamentos de controle de acesso com fornecimento de materiais e equipamentos de rede de dados, compreendendo instalação remoção, ampliação  remanejamento manutenção preventiva e corretiva testes de funcionalidade durante o prazo de 12 meses em sistema de registro de preços;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;2932090770.0;1150.0;2022-03-09;2022-03-25;TB_LICITACOES-2022.csv;contratação de empresa especializada para prestação de serviços sob demanda de infraestrutura de cabeamento de rede lógica cabeamento de rede telefônica câmeras de circuito interno de televisão cftv equipamentos de controle de acesso com fornecimento de materiais e equipamentos de rede de dados, compreendendo instalação remoção, ampliação remanejamento manutenção preventiva e corretiva testes de funcionalidade durante o prazo de 12 meses em sistema de registro de preços;3.922115958231402e-07;False;16.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.5531672634644641;0.9141887748271124;0.011634996420491817;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
12;2020;Concorrência Pública;Fase Certame;A presente licitação tem por objeto a concessão de uso para exploração do espaço determinado bomboniere, localizado nos auditórios Bento Munhoz da Rocha Netto e Salvador de Ferrante, conforme especificações no Termo de Referência.;CCTG-Centro Cultural Teatro Guaira;Maior Lance;;;2020-03-31;;TB_LICITACOES-2020.csv;a presente licitação tem por objeto a concessão de uso para exploração do espaço determinado bomboniere, localizado nos auditórios bento munhoz da rocha netto e salvador de ferrante, conforme especificações no termo de referência.;;False;;2020;4;cctg-centro cultural teatro guaira;Guaíra;33058.0;0.641;outros;0.5526587215114577;0.9117395930850454;0.014037414151076295;Anomalia Crítica;True;Médio (10-50k);populacao_log1p;Porte Populacional Atípico;10.41
809;2023;Pregão Eletrônico;Homologado;Contratação através de Sistema de Registro de Preços de empresa especializada em serviços de Manutenção em coberturas nas instalações da Administração dos Portos de Paranaguá e Antonina APPA conforme demanda por um período de 12 doze meses de acordo com as justificativas quantidades estimadas e especificações técnicas descritas no Termo de Referência edital e demais anexos. As especificações técnicas do objeto encontram-se descritas no Anexo II do termo de referência.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;560239338.0;2877.0;2023-07-04;2024-02-21;TB_LICITACOES-2023.csv;contratação através de sistema de registro de preços de empresa especializada em serviços de manutenção em coberturas nas instalações da administração dos portos de paranaguá e antonina appa conforme demanda por um período de 12 doze meses de acordo com as justificativas quantidades estimadas e especificações técnicas descritas no termo de referência edital e demais anexos. as especificações técnicas do objeto encontram-se descritas no anexo ii do termo de referência.;5.13530522556772e-06;False;232.0;2023;66;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.5523422778872025;0.913643680742691;0.010390173603969594;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
186;2021;Pregão Eletrônico;Homologado;Contratação, através do Sistema de Registro de Preços, de serviços de Manutenção Civil, nas áreas sob responsabilidade da Administração dos Portos de Paranaguá e Antonina (APPA), conforme especificações, justificativas e demais condições expressas no Edital, Termo de Referência e anexos, pelo prazo de 12 (doze) meses.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;938275428.0;8086.0;2021-03-29;2021-05-25;TB_LICITACOES-2021.csv;contratação, através do sistema de registro de preços, de serviços de manutenção civil, nas áreas sob responsabilidade da administração dos portos de paranaguá e antonina (appa), conforme especificações, justificativas e demais condições expressas no edital, termo de referência e anexos, pelo prazo de 12 (doze) meses.;8.617938569739461e-06;False;57.0;2021;73;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.5520264157101195;0.9139210720660109;0.009184431176282228;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
2;2024;Pregão Eletrônico;Homologado;"Contratação de empresa especializada para execução do SPDA do Porto de Paranaguá, a CONTRATADA deverá executar os serviços de acordo com os projetos e memoriais disponíveis, levando em conta as modificações consideradas por esta APPA, conforme justificativas, normas e demais especificações contidas no Termo de referência, anexos e Edital.
";APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;850539221.0;850510221.0;2024-01-25;2024-04-22;TB_LICITACOES-2024.csv;contratação de empresa especializada para execução do spda do porto de paranaguá, a contratada deverá executar os serviços de acordo com os projetos e memoriais disponíveis, levando em conta as modificações consideradas por esta appa, conforme justificativas, normas e demais especificações contidas no termo de referência, anexos e edital.;0.9999659039826924;False;88.0;2024;22;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;veiculos;0.551044831707047;0.9105508087124848;0.011785866198890323;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.92
12;2022;Concorrência Pública;Homologado;Restaurante Universitário;UNIOESTE FBELT-Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão;Menor Preço;115078000.0;115078000.0;2022-03-31;2022-04-06;TB_LICITACOES-2022.csv;restaurante universitário;1.0;False;6.0;2022;5;unioeste fbelt-universidade estadual do oeste do parana - campus francisco beltrao;Francisco Beltrão;102312.0;0.751;educacao;0.5496531301663407;0.9053447497780892;0.016115700748717907;Anomalia Crítica;True;Grande (50-200k);populacao_log1p;Porte Populacional Atípico;11.54
