numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;proporcao_homologado_estimado;flag_sobrepreco;lead_time_dias;ano_abertura;volume_licitacoes_orgao_ano;orgao_norm;municipio_extraido;populacao;idhm;categoria_objeto;score_anomalia;score_if;score_lof;classificacao;flag_anomalia;porte_municipio;driver_principal;tipo_anomalia;z_score_driver
187;2023;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Aquisição de medicamentos;SESA-Secretaria de Estado da Saúde;Menor Preço;2487866000.0;;2023-10-11;2023-12-19;TB_LICITACOES-2023.csv;aquisição de medicamentos;;False;69.0;2023;131;sesa-secretaria de estado da saude;;;;saude;0.10509834957779171;0.17360833039524542;0.0023333783516111257;Regular;False;;;;
844;2020;Pregão Eletrônico;Homologado;"CONTRATAÇÃO DE EMPRESAS ESPECIALIZADAS PARA PRESTAÇÃO DE SERVIÇOS DE
CONTROLE DE PRAGAS E VETORES,";FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Menor Preço;3480000.0;2215000.0;2020-08-31;2020-09-18;TB_LICITACOES-2020.csv;contratação de empresas especializadas para prestação de serviços de controle de pragas e vetores,;0.6364942528735632;False;18.0;2020;161;funeas-fundacao estatal de atencao em saude do estado do parana;;;;servicos;0.10508365839137437;0.17205925097148236;0.0046202695212124185;Regular;False;;;;
820;2025;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Trata-se de Processo Administrativo de fornecimento contínuo de PICOCHIPS PARA IDENTIFICAÇÃO ANIMAL E CHAPAS DE POLICARBONATO COMPACTO, para atender a demanda da Fundação Estatal de Atenção em Saúde do Paraná FUNEAS, na unidade Centro de Produção e Pesquisa de Imunobiológicos CPPI pelo período de 60 sessenta meses;FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Menor Preço;9001950.0;7507950.0;2025-07-02;2025-08-28;TB_LICITACOES-2025.csv;trata-se de processo administrativo de fornecimento contínuo de picochips para identificação animal e chapas de policarbonato compacto, para atender a demanda da fundação estatal de atenção em saúde do paraná funeas, na unidade centro de produção e pesquisa de imunobiológicos cppi pelo período de 60 sessenta meses;0.8340359588755769;False;57.0;2025;126;funeas-fundacao estatal de atencao em saude do estado do parana;;;;saude;0.10507711444194269;0.17289319371870615;0.0033529955267974864;Regular;False;;;;
128;2023;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Aquisicao de equipamentos esportivos para a academia do Complexo Desportivo e Recreativo do Campus Cedeteg, UNICENTRO, com recursos do TC 55-21 SETI;UNICENTRO-Universidade Estadual do Centro-Oeste;Maior Desconto;6635727.0;;2023-09-13;2023-10-27;TB_LICITACOES-2023.csv;aquisicao de equipamentos esportivos para a academia do complexo desportivo e recreativo do campus cedeteg, unicentro, com recursos do tc 55-21 seti;;False;44.0;2023;40;unicentro-universidade estadual do centro-oeste;;;;educacao;0.10505615445182018;0.17387021883273068;0.0018350578804544342;Regular;False;;;;
1243;2021;Pregão Eletrônico;Homologado;Aquisição de gêneros alimentícios para atender às necessidades do Corpo de Bombeiros da cidade de Medianeira/PR;CBMPR-Corpo de Bombeiros Militar do Paraná (Antigo PMPR-CCB);Menor Preço;13044710.0;12254265.0;2021-10-22;2021-11-09;TB_LICITACOES-2021.csv;aquisição de gêneros alimentícios para atender às necessidades do corpo de bombeiros da cidade de medianeira/pr;0.9394049388602737;False;18.0;2021;82;cbmpr-corpo de bombeiros militar do parana (antigo pmpr-ccb);;;;alimentacao;0.10505219490663611;0.17321855825026353;0.0028026498911950066;Regular;False;;;;
1193;2020;Pregão Eletrônico;Homologado;Aquisição de materiais de expediente e de oficina de artes para o Projeto Vera o Maior 2020/2021.;PRESP-Paraná Esporte (Antigo IPCE);Menor Preço;2193560.0;2156750.0;2020-11-18;2020-12-01;TB_LICITACOES-2020.csv;aquisição de materiais de expediente e de oficina de artes para o projeto vera o maior 2020/2021.;0.983219059428509;False;13.0;2020;23;presp-parana esporte (antigo ipce);;;;outros;0.10504717990310097;0.1727787888764905;0.003449766443016685;Regular;False;;;;
1712;2025;Pregão Eletrônico (Lei Federal 14.133/2021);Publicado;Contratação de empresa para prestação de serviços contínuos especializados em gestão documental para organização, gerenciamento e guarda custodia do acervo documental do SAME e Arquivo Administrativo para atender a demanda do Hospital Universitário do Oeste do Paraná - HUOP.;UNIOESTE HUOP-Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná;Menor Preço;451420740.0;;2025-11-05;;TB_LICITACOES-2025.csv;contratação de empresa para prestação de serviços contínuos especializados em gestão documental para organização, gerenciamento e guarda custodia do acervo documental do same e arquivo administrativo para atender a demanda do hospital universitário do oeste do paraná - huop.;;False;;2025;30;unioeste huop-universidade estadual do oeste do parana - hospital universitario do oeste do parana;;;;saude;0.10503394296050482;0.16750815365982266;0.011322626911528076;Regular;False;;;;
1495;2023;Pregão Eletrônico;Homologado;Aquisição de Perfuradores;FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Menor Preço;79663840.0;67469927.0;2024-02-09;2024-03-19;TB_LICITACOES-2023.csv;aquisição de perfuradores;0.8469328995438834;False;39.0;2024;173;funeas-fundacao estatal de atencao em saude do estado do parana;;;;outros;0.10502528496046436;0.1718293624853586;0.0048191686731230195;Regular;False;;;;
347;2023;Pregão Eletrônico;Homologado;O objeto desta licitação é a execução de reparos no Colégio Estadual do Campo Duque de Caxias, sito à Rua Ernestina Weinhardt da Silveira, 86, Centro, telefone 42 3533-1318, no Município de Antônio Olinto, Estado do Paraná.;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Menor Preço;30165436.0;30147399.0;2023-03-27;2023-04-06;TB_LICITACOES-2023.csv;o objeto desta licitação é a execução de reparos no colégio estadual do campo duque de caxias, sito à rua ernestina weinhardt da silveira, 86, centro, telefone 42 3533-1318, no município de antônio olinto, estado do paraná.;0.9994020640046443;False;10.0;2023;219;fundepar-instituto paranaense de desenvolvimento educacional;;;;educacao;0.10500658263672599;0.16710687200842944;0.011856148579170826;Regular;False;;;;
864;2025;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;SACOS DE LIXO GRUPO I ;DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM);Menor Preço;374556493.0;221412090.0;2025-09-26;2025-10-16;TB_LICITACOES-2025.csv;sacos de lixo grupo i;0.5911313623923748;False;20.0;2025;106;decon-departamento de logistica para contratacoes publicas (antigo deam);;;;outros;0.10500369881838635;0.1660736162133301;0.013398822725970696;Regular;False;;;;
