cod_ibge,municipio,ano,legislativa_pc,judiciaria_pc,essencial_justica_pc,administracao_pc,defesa_nacional_pc,seguranca_publica_pc,relacoes_exteriores_pc,assistencia_social_pc,previdencia_social_pc,saude_pc,trabalho_pc,educacao_pc,cultura_pc,direitos_cidadania_pc,urbanismo_pc,habitacao_pc,saneamento_pc,gestao_ambiental_pc,ciencia_tecnologia_pc,agricultura_pc,organizacao_agraria_pc,industria_pc,comercio_servicos_pc,comunicacoes_pc,energia_pc,transporte_pc,desporto_lazer_pc,encargos_especiais_pc,reserva_contingencia_pc,legislativa_prop,judiciaria_prop,essencial_justica_prop,administracao_prop,defesa_nacional_prop,seguranca_publica_prop,relacoes_exteriores_prop,assistencia_social_prop,previdencia_social_prop,saude_prop,trabalho_prop,educacao_prop,cultura_prop,direitos_cidadania_prop,urbanismo_prop,habitacao_prop,saneamento_prop,gestao_ambiental_prop,ciencia_tecnologia_prop,agricultura_prop,organizacao_agraria_prop,industria_prop,comercio_servicos_prop,comunicacoes_prop,energia_prop,transporte_prop,desporto_lazer_prop,encargos_especiais_prop,reserva_contingencia_prop,saude_var,educacao_var,administracao_var,urbanismo_var,assistencia_social_var,transporte_var,saude_dev,educacao_dev,administracao_dev,urbanismo_dev,assistencia_social_dev,transporte_dev,log_pop,hhi
4100103,Abatiá,2020,-0.26520706875557876,1.0963261310712318,0.0,-0.9047733959384765,0.0,0.0,0.0,-0.7898481554949087,-0.04445416791102928,-0.8649837575877009,568.8895072894168,-0.897058481604814,-0.47266944570905456,0.0,-0.23897039674267456,0.0,6.833853737320524,-0.29498465238082544,0.0,-0.4827637219772839,0.0,0.08833308939438012,0.0,0.0,0.0,-0.4624031414441901,-0.7462197159840954,-0.5646092641154926,0.0,0.6764461077187658,1.6909088276592716,0.0,-1.2243102198958582,0.0,0.0,0.0,-0.7598438541490999,-0.0275282440210298,-0.025820115369756962,0.1798576172917126,-0.043182363277774985,-0.5327232761141348,0.0,0.4073335774951373,0.0,14.589102218740239,-0.13777083876142335,0.0,-0.6061315099097445,0.0,0.2174711878540272,0.0,0.0,0.0,-0.45829996725433264,-0.965847480456048,-0.2914267749703252,0.0,-0.5197071246312693,-0.45704698175940034,-0.3285692949908862,0.0,-0.35470967505076934,0.0,-1.2827938122153522,-1.3747419818150997,-1.5269090410815167,-0.40110108287417945,-1.2912146797690065,-0.6797305376552384,-0.19473689693327412,0.056957925360328836
4100103,Abatiá,2021,-0.22309970241451357,0.6396537292921235,0.0,-0.8812774490744392,0.0,0.0,0.0,-0.6711485477451787,-0.04445416791102928,-0.7247694226726389,542.5183532608696,-0.5530010405404938,-0.27802325778098275,0.0,-0.646280879274845,0.0,7.035387814022353,-0.26409710879157067,0.0,-0.49884829717213847,0.0,0.13083228233238475,0.0,0.0,0.0,-0.43985660085979,-0.7217295999127221,-0.48577215381976746,0.0,0.6673033598039997,0.9363504967278318,0.0,-1.1863749618396062,0.0,0.0,0.0,-0.45912551743945107,-0.0275282440210298,0.36637435704778365,0.16279026499545557,1.0054003974795303,-0.15055026151738463,0.0,-0.6297580870651,0.0,14.254894685067422,-0.10303556024192699,0.0,-0.6457162619987517,0.0,0.27225085203168775,0.0,0.0,0.0,-0.4209840688136924,-0.9112880930672603,-0.18088319091684643,0.0,0.20969299133992705,1.0081270770185398,0.2291662954190848,-1.0177346376221204,0.591729107418838,1.0374404829693151,-1.0512312587213166,-0.912565316282017,-1.4806349075030758,-0.8636594083257935,-1.1035069536389717,-0.6543932524815628,-0.19957212445514122,0.6834368574046124
4100103,Abatiá,2022,-0.10393308188549173,0.3251830660659648,0.0,-0.8887708432470652,0.0,0.0,0.0,-0.5073807527840216,-0.04445416791102928,-0.3557952791302157,549.4226125511597,-0.2340309867075102,0.11250028569651878,0.0,0.9480587693387359,0.0,8.541468475172751,-0.27020294183201676,0.0,0.3734097409922075,0.0,0.08207519840621029,0.0,0.0,0.0,-0.43162054652249676,-0.6146632968855892,-0.38250257810271815,0.0,0.03994032001718357,0.3090847101627045,0.0,-1.444812654307486,0.0,0.0,0.0,-0.7950600505372892,-0.0275282440210298,-0.27201797141276,0.10704752146553237,0.05545787350615001,0.1960104110271369,0.0,1.5143117692131902,0.0,11.237368031606469,-0.24602608202259282,0.0,0.576018217818236,0.0,0.09474408143449986,0.0,0.0,0.0,-0.47105427256369947,-0.7763917701197887,-0.31771714848046134,0.0,1.1541702071750966,0.5528531242821884,-0.48817321405914715,9.043863853842334,0.6924266976444494,0.2819521227540828,-0.44187419901899805,-0.48408885191781065,-1.4953927857408216,0.9469374451582439,-0.8445298517912321,-0.645137763522238,-0.20261017910794854,0.15017220239214582
4100103,Abatiá,2023,0.08532345844219769,0.2447957793707821,0.0,-0.85365356856147,0.0,0.0,0.0,-0.19964150438100076,-0.04445416791102928,-0.3177419086683129,675.3252362690042,0.2870490478262232,0.43477143230311827,0.0,0.7999662959758044,0.0,9.812279633996539,-0.22387219229137145,0.0,0.16769884016610836,0.0,0.0578209225796187,0.0,0.0,0.0,-0.4179677555845672,-0.5569500900670096,-0.34157428073909135,0.0,0.1589255113188428,0.20929133814356668,0.0,-1.4263710422591964,0.0,0.0,0.0,-0.37456969888882574,-0.0275282440210298,-0.5955684445508012,0.11835341524003641,0.7627086937627822,0.48921307148559623,0.0,1.0229641488915708,0.0,11.611804288455339,-0.2244934725390459,0.0,0.18579560344660068,0.0,0.053303105880744314,0.0,0.0,0.0,-0.4677431410626863,-0.720464203587434,-0.33471968415784853,0.0,-0.39055283263397567,0.8757915692232755,0.444735943419872,-0.1406660716915451,1.1906569729329504,0.42741821140004355,-0.3790294432488364,0.2158844783832828,-1.426231007791823,0.7787576181503912,-0.35788094322457015,-0.6297950702112189,-0.20555880610505614,0.1458471567599423
4100103,Abatiá,2024,0.1391927938013447,0.20680937607670014,0.0,-0.8352129446072665,0.0,0.0,0.0,0.10244547787527016,-0.04445416791102928,-0.13393133904758767,734.561589877596,0.2320197616070209,2.7773241549885213,0.0,-0.07389122295706639,0.0,9.66821335574261,0.01970781979636571,0.0,-0.4626560715554119,0.0,0.052156482538369645,0.0,0.0,0.0,-0.41304268967940855,-0.6537985574335166,0.21683540167025256,0.0,0.295810656792534,0.181607355102929,0.0,-1.3804406617445475,0.0,0.0,0.0,0.2667114306169444,-0.0275282440210298,-0.004492222678432273,0.13222449311088172,0.768206869438401,3.3000398329274994,0.0,-0.13005163765968814,0.0,11.75146189711735,0.03223399132130017,0.0,-0.6171399133301076,0.0,0.05143834078351519,0.0,0.0,0.0,-0.45853715157772146,-0.8436293058917376,0.285896726147146,0.0,0.08835756132820069,-0.5641786233754627,0.02188137934094895,-0.8996049666510855,0.7262884422534196,0.1350418537391532,-0.07546814984504693,0.14196294966185669,-1.3899130887454239,-0.213630469011017,0.11982965420524967,-0.6242603941099775,-0.20862145877197255,0.06910793678696328
4100202,Adrianópolis,2020,0.49332128503370093,0.0,0.0,0.953696429026322,0.0,0.0,0.0,-0.9541823114032723,1.1812874526191781,-0.35609814247320803,0.0,-0.4503802739948906,-0.5018216954548395,0.0,-0.9501350251994491,0.0,0.0,-0.4835373928430262,0.0,-0.5141266411976279,0.0,-0.0854677329064197,0.0,0.0,0.0,0.20928903758214054,-0.7379733408346013,2.4910449540583253,0.0,1.0293277242574481,0.0,0.0,2.12293917499096,0.0,0.0,0.0,-1.744668498213555,1.1697019907216388,-0.34100567108041807,0.0,-0.5064323086625856,-0.5935193222900077,0.0,-1.349872678216938,0.0,0.0,-0.482686530437995,0.0,-0.6841101773943953,0.0,-0.08487039796059605,0.0,0.0,0.0,0.32962186092125445,-0.955686292227926,2.986819326849614,0.0,-0.5197071246312693,-0.45704698175940034,-0.3285692949908862,0.0,-0.35470967505076934,0.0,-0.2937325184254489,-0.43001309462884485,-0.1319820682369478,-0.5584627796782132,-1.093195070995456,0.5554336472049143,-0.36947356594504155,0.2702205020543415
4100202,Adrianópolis,2021,0.4949937869255495,0.0,0.0,1.6885074916412823,0.0,0.0,0.0,-0.6697234974983952,1.3641268970638847,-0.19337053276774407,0.0,-0.3008761800806104,-0.32030774676174356,0.0,-0.8682066542370266,0.0,0.0,-0.2827720891574271,0.0,-0.48215296190705786,0.0,-0.0854677329064197,0.010191650747680527,0.0,0.0,0.4942759198642279,-0.610904273385535,1.2675119617158748,0.0,0.6511902510743178,0.0,0.0,2.7943423772089293,0.0,0.0,0.0,-1.3291641599702155,1.1571604611375153,-0.5194470366937086,0.0,-0.6720456204751326,-0.3959074917265288,0.0,-1.2486351474746267,0.0,0.0,-0.2953621191322693,0.0,-0.646885498137098,0.0,-0.08487039796059605,0.00977500970062973,0.0,0.0,0.508691519287227,-0.8013659287348281,1.2294515026314883,0.0,0.03270951055907576,-0.017340165826183203,1.4062004301776143,8.864152760154735,3.092088229185959,1.1655338797509172,-0.09382665274500969,-0.2731410279698021,0.37231375021367874,-0.4493596311466514,-0.7357274393782351,0.9145012656398432,-0.3771323564680311,0.43986764338887757
4100202,Adrianópolis,2022,0.7155188337634737,0.0,0.0,1.6902807061987024,0.0,0.0,0.0,-0.6432112984727081,1.6041096160755957,0.721701641220287,0.0,0.4960972054287163,-0.45544818367709383,0.0,-0.8378032614498955,16.72390199245385,0.0,-0.25474036841748865,0.0,-0.4388604274948436,0.0,-0.0854677329064197,0.05923330424719958,0.0,0.0,1.1183281629380202,-0.5749272980790077,-0.15597864289928465,0.0,0.4307892932969387,0.0,0.0,1.8494436930711402,0.0,0.0,0.0,-1.5081447242297548,1.078088157296083,0.45045883218891913,0.0,-0.05141475415707119,-0.5532615964547275,0.0,-1.2432179229428364,11.041567309173484,0.0,-0.3141035139495792,0.0,-0.6147005341684247,0.0,-0.08487039796059605,0.045301745933596656,0.0,0.0,0.8219912542513376,-0.8002347083013406,-0.3325919494800976,0.0,2.2761128830284036,1.667002025483745,-0.3254822140323078,0.5600838904310194,-0.18559201922598778,1.8406828496229362,1.0303113803291444,0.5631093969101031,0.37353069526529564,-0.4088717532583041,-0.7024106549039596,1.7007723771560739,-0.35476196979985175,0.7991980530494531
4100202,Adrianópolis,2023,0.7473747625087103,0.0,0.0,2.9182808455964353,0.0,0.0,0.0,-0.1127574525793599,1.866082156585382,-0.03259321487212137,0.0,0.6831403651654461,0.8251445473816852,0.0,-0.4824551765098736,0.0,0.0,-0.2236887780431055,0.0,0.7014372934253299,0.0,-0.0854677329064197,0.6383881364893806,0.0,0.0,0.39127034499965324,-0.06887802013945217,-0.1755118699252511,0.0,0.2860466768971812,0.0,0.0,3.03700101170158,0.0,0.0,0.0,-0.89256140674838,1.1467198089052069,-1.2970857107350977,0.0,-0.09622834808623311,0.4621914647038022,0.0,-0.9223471103650728,0.0,0.0,-0.30761386664832924,0.0,0.38085856337088503,0.0,-0.08487039796059605,0.4474449591561048,0.0,0.0,0.1307320028830789,-0.3595300348026847,-0.3955432051478337,0.0,-1.9948705880031132,-0.12475481944085255,1.8079659180448115,5.005027802044834,2.8859488998399883,-1.331579973760019,0.10368333940615286,0.7593705577527066,1.2162988119445108,0.06434154802165684,-0.03581123627195198,0.7847199713010605,-0.3331656252767203,0.4211301376775977
4100202,Adrianópolis,2024,0.5869916972061723,0.0,0.0,3.2082396009861176,0.0,0.0,0.0,-0.31259651757625656,1.9085723097394238,0.6376814370316578,0.0,0.3391547228063675,-0.22198877931741143,0.0,0.671372374273499,0.0,0.0,-0.3677758362605559,0.0,-0.3987961667142851,0.0,-0.0854677329064197,0.3940562259813009,0.0,0.0,0.5615313611421525,-0.6133337428142539,0.2882779618048291,0.0,-0.06957581750712225,0.0,0.0,2.8603355845276326,0.0,0.0,0.0,-1.2778915956185757,1.0520112548076324,-0.5477997864385064,0.0,-0.9212371575599808,-0.3932982702279588,0.0,0.0012278670280095499,0.0,0.0,-0.4150538110918672,0.0,-0.5967894819358012,0.0,-0.08487039796059605,0.2483927194298583,0.0,0.0,0.17848931997735729,-0.8611209743411313,-0.14524324757225135,0.0,1.3440621303065696,-1.0238073791189035,0.022126660181035648,4.331923575529661,-1.0161496269050598,0.558472122404369,0.9270951425722197,0.39843235729883436,1.4152955272985182,1.6008815423377378,-0.28694072770310425,0.9992393803666504,-0.3120610191301624,0.3922037630945846
